Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Quarter,Price_per_kWh,Range_per_kWh
2021,6,0,3,15411,17636,58865.91,120,685,1583.48,0,8771,2,490.54925000000003,5.708333333333333
2015,10,3,3,12070,12219,92220.65,82,461,834.64,2,7671,4,1124.6420731707317,5.621951219512195
2019,2,1,2,14215,15529,52823.37,82,464,989.36,0,8622,1,644.1874390243903,5.658536585365853
2021,6,1,3,12017,13245,54447.5,82,467,841.79,2,14565,2,663.9939024390244,5.695121951219512
2019,12,0,0,10012,11485,56816.37,100,565,848.52,1,10658,4,568.1637000000001,5.65
2025,8,2,2,8857,10153,62777.21,120,681,904.74,1,12034,3,523.1434166666667,5.675
2025,12,3,4,7865,8635,58491.33,100,558,658.3,1,5966,4,584.9133,5.58
2019,9,3,1,7842,8082,93876.18,75,425,499.93,2,14947,3,1251.6824,5.666666666666667
2015,10,1,3,9615,10665,84684.39,82,479,690.84,2,8217,4,1032.736463414634,5.841463414634147
2017,7,2,0,18353,20285,62018.57,60,345,949.77,0,7943,3,1033.6428333333333,5.75
2020,3,0,1,5487,6060,89208.12,60,341,280.66,1,8042,1,1486.802,5.683333333333334
2019,11,2,2,13795,14310,76061.5,120,675,1396.74,2,8867,4,633.8458333333333,5.625
2021,9,2,4,9048,9299,95617.59,75,439,595.81,1,11256,3,1274.9012,5.8533333333333335
2017,7,0,0,12222,12642,58228.59,82,457,837.82,1,3023,3,710.1047560975609,5.573170731707317
2021,12,1,0,15357,17137,73727.89,60,334,769.39,1,13294,4,1228.7981666666667,5.566666666666666
2019,2,0,0,9198,10505,65314.02,60,339,467.72,0,12074,1,1088.567,5.65
2018,11,0,0,4416,4672,55640.66,60,334,221.24,2,6575,4,927.3443333333333,5.566666666666666
2016,7,0,1,12523,13718,104995.61,120,667,1252.93,0,7918,3,874.9634166666667,5.558333333333334
2022,12,1,4,8901,9137,51996.4,75,446,595.48,0,3098,4,693.2853333333334,5.946666666666666
2022,5,1,3,9529,10402,107420.51,100,570,814.73,0,5658,2,1074.2051,5.7
2017,6,0,4,13304,14480,92930.42,120,698,1392.93,2,5904,2,774.4201666666667,5.816666666666666
2018,1,1,1,6192,6352,89758.2,82,463,430.03,2,14259,1,1094.6121951219511,5.646341463414634
2018,6,1,1,7300,7781,95076.96,120,682,746.79,2,3654,2,792.3080000000001,5.683333333333334
2017,11,1,3,8800,9446,95132.17,100,561,740.52,2,9631,4,951.3217,5.61
2024,2,1,2,12899,13977,90373.26,100,558,1079.65,2,7832,1,903.7325999999999,5.58
2015,7,2,1,10346,11237,108928.01,60,334,518.33,2,12543,3,1815.4668333333332,5.566666666666666
2017,8,1,4,9828,9926,111414.53,60,341,502.7,1,9501,3,1856.9088333333334,5.683333333333334
2016,5,0,0,9308,9832,77613.34,100,572,798.63,1,12420,2,776.1333999999999,5.72
2022,9,1,0,10568,11116,62082.64,100,550,871.86,1,8410,3,620.8264,5.5
2023,5,1,3,13362,14234,78132.91,120,694,1390.98,0,10000,2,651.1075833333333,5.783333333333333
2019,8,1,0,13326,15182,84772.04,82,485,969.47,0,8350,3,1033.8053658536585,5.914634146341464
2022,2,0,1,7392,7575,118439.9,120,666,738.46,2,14183,1,986.9991666666666,5.55
2023,4,0,1,15354,16517,86767.53,100,598,1377.25,0,13937,2,867.6753,5.98
2017,12,0,2,13504,15509,71831.56,82,464,939.88,1,3947,4,875.9946341463415,5.658536585365853
2019,4,2,0,9166,9644,93416.44,82,473,650.33,1,4507,2,1139.2248780487805,5.7682926829268295
2022,6,0,1,12159,12521,85588.42,100,557,1015.88,1,11051,2,855.8842,5.57
2021,9,1,0,11351,12445,76738.6,75,448,762.79,1,6959,3,1023.1813333333334,5.973333333333334
2025,4,3,4,12062,13191,66633.49,120,690,1248.42,2,14114,2,555.2790833333333,5.75
2019,8,0,3,8889,9950,91679.04,60,356,474.67,0,7931,3,1527.984,5.933333333333334
2016,12,1,2,10571,11269,71163.33,82,461,730.98,0,5335,4,867.8454878048781,5.621951219512195
2020,2,3,4,8304,8784,114079.13,60,352,438.45,1,9061,1,1901.3188333333335,5.866666666666666
2021,4,2,3,12967,13501,52295.99,120,685,1332.36,0,13741,2,435.79991666666666,5.708333333333333
2025,11,0,2,9181,9523,66418.09,120,671,924.07,0,9897,4,553.4840833333333,5.591666666666667
2023,7,2,0,4551,5027,85436.17,100,551,376.14,1,14096,3,854.3616999999999,5.51
2019,8,3,0,13167,15140,64800.19,100,563,1111.95,1,10954,3,648.0019,5.63
2021,6,1,1,8537,9533,92600.01,120,718,919.43,2,7483,2,771.66675,5.983333333333333
2016,5,2,4,15206,15358,86288.56,120,669,1525.92,0,11849,2,719.0713333333333,5.575
2021,9,2,2,13107,14700,59452.67,60,344,676.32,0,14262,3,990.8778333333333,5.733333333333333
2024,3,2,2,11386,12208,78046.05,82,491,838.58,2,12853,1,951.7810975609757,5.987804878048781
2020,12,3,3,935,1063,75780.68,60,341,47.83,1,7602,4,1263.0113333333331,5.683333333333334
2020,9,2,4,10233,10752,83140.45,75,435,667.7,1,13425,3,1108.5393333333334,5.8
2024,4,3,3,13755,14856,65278.86,75,418,862.44,1,5841,2,870.3848,5.573333333333333
2018,5,2,1,11601,11864,83419.13,120,696,1211.14,0,9980,2,695.1594166666667,5.8
2019,6,1,3,13504,15384,94876.03,82,463,937.85,0,9303,2,1157.024756097561,5.646341463414634
2016,2,0,0,10601,11391,93249.31,100,593,942.96,2,9847,1,932.4931,5.93
2022,11,2,1,8164,9072,102969.34,60,350,428.61,0,5808,4,1716.1556666666665,5.833333333333333
2018,8,1,2,15247,15861,63905.12,120,674,1541.47,2,6676,3,532.5426666666667,5.616666666666666
2015,6,3,1,12491,12919,97019.05,60,348,652.03,0,7297,2,1616.9841666666666,5.8
2022,2,2,4,15256,16088,108329.2,60,343,784.92,0,11634,1,1805.4866666666667,5.716666666666667
2015,6,1,3,12870,14534,116466.44,120,668,1289.57,0,14119,2,970.5536666666667,5.566666666666666
2024,12,2,0,12805,13581,97484.54,75,441,847.05,2,14903,4,1299.7938666666666,5.88
2025,12,1,4,5817,6426,81936.8,100,576,502.59,0,4756,4,819.368,5.76
2024,3,3,0,8819,10002,100057.39,100,581,768.58,2,10965,1,1000.5739,5.81
2023,12,1,3,6937,7210,67171.73,100,598,622.25,0,3098,4,671.7172999999999,5.98
2020,9,3,3,18338,20455,57277.16,60,358,984.75,2,13682,3,954.6193333333334,5.966666666666667
2022,6,1,1,2499,2699,111361.87,82,488,182.93,0,6191,2,1358.0715853658537,5.951219512195122
2022,12,0,3,6375,7256,59853.93,82,460,439.87,0,9697,4,729.925975609756,5.609756097560975
2023,7,0,4,15153,15547,73861.36,82,467,1061.47,0,7184,3,900.7482926829268,5.695121951219512
2023,3,3,2,9070,9500,97403.35,100,574,780.93,0,14739,1,974.0335,5.74
2022,4,3,0,7487,8565,107432.29,120,711,798.49,2,5066,2,895.2690833333332,5.925
2017,12,0,3,12561,12677,56465.24,75,418,787.57,1,10142,4,752.8698666666667,5.573333333333333
2015,4,0,3,15110,15882,115153.01,100,592,1341.77,0,8147,2,1151.5301,5.92
2023,5,1,4,10263,10424,110080.39,60,339,521.87,0,14655,2,1834.6731666666667,5.65
2025,8,3,2,15156,15346,61250.09,82,481,1093.51,1,8176,3,746.9523170731707,5.865853658536586
2017,1,3,1,4481,4486,119847.46,60,350,235.25,2,12941,1,1997.4576666666667,5.833333333333333
2022,9,2,3,4364,4537,98157.4,60,353,231.07,0,6681,3,1635.9566666666665,5.883333333333334
2021,8,3,4,12327,12708,80886.08,82,453,837.62,1,12903,3,986.4156097560976,5.524390243902439
2025,11,1,2,11138,11508,65394.72,82,489,816.97,0,14449,4,797.4965853658537,5.963414634146342
2019,11,0,1,9433,9586,111315.31,100,589,833.41,2,5017,4,1113.1531,5.89
2023,12,2,4,5348,5655,111013.18,100,568,455.65,0,14419,4,1110.1317999999999,5.68
2021,11,3,2,14807,14852,92314.23,82,462,1026.13,1,13348,4,1125.7832926829267,5.634146341463414
2021,8,2,4,13069,14212,87686.89,82,469,919.4,2,5511,3,1069.3523170731708,5.719512195121951
2016,9,1,2,20358,20930,110072.39,100,590,1801.68,0,9489,3,1100.7239,5.9
2018,2,2,3,7551,7813,110788.67,82,488,552.73,1,8035,1,1351.0813414634147,5.951219512195122
2025,4,2,2,6995,7039,97176.11,75,432,453.28,1,8329,2,1295.6814666666667,5.76
2023,11,2,1,10831,11502,79651.01,120,702,1140.5,0,14313,4,663.7584166666667,5.85
2021,1,2,1,2137,2277,68388.53,120,669,214.45,2,11269,1,569.9044166666666,5.575
2023,3,0,3,6987,7810,76386.5,82,455,476.86,1,10605,1,931.5426829268292,5.548780487804878
2023,10,3,2,10819,11416,99911.97,75,414,671.86,1,7636,4,1332.1596,5.52
2018,2,3,4,11286,12786,115401.29,82,488,826.14,0,10624,1,1407.3328048780486,5.951219512195122
2018,5,1,1,14415,14504,84869.1,120,701,1515.74,1,6027,2,707.2425000000001,5.841666666666667
2025,3,3,3,4027,4228,117189.04,82,472,285.11,2,7808,1,1429.1346341463413,5.7560975609756095
2024,4,2,1,14574,16184,65092.63,75,427,933.46,2,9094,2,867.9017333333333,5.693333333333333
2025,1,2,0,4241,4551,63059.47,100,594,377.87,2,5982,1,630.5947,5.94
2025,6,1,1,10014,10848,107745.69,100,575,863.71,0,13997,2,1077.4569000000001,5.75
2021,7,3,1,13236,13581,103253.15,120,660,1310.36,0,9693,3,860.4429166666666,5.5
2015,8,1,4,6904,7092,113591.54,75,434,449.45,0,7810,3,1514.5538666666666,5.786666666666667
2020,9,0,2,19989,21667,84048.35,60,345,1034.43,2,5116,3,1400.8058333333333,5.75
2021,9,3,2,11461,12063,81652.81,100,556,955.85,1,3575,3,816.5281,5.56
2021,9,3,1,9843,10987,89947.82,75,441,651.11,0,4798,3,1199.3042666666668,5.88
2017,11,0,3,5590,5772,111185.02,60,337,282.57,1,6158,4,1853.0836666666667,5.616666666666666
2018,5,2,4,12023,12399,54099.57,75,433,780.89,0,10142,2,721.3276,5.773333333333333
2025,2,0,1,17456,19595,107746.29,120,674,1764.8,1,6883,1,897.8857499999999,5.616666666666666
2021,9,1,1,6586,7232,79135.19,82,458,452.46,2,11269,3,965.0632926829269,5.585365853658536
2022,12,0,1,14684,16136,74135.09,75,446,982.36,1,6498,4,988.4678666666666,5.946666666666666
2017,12,3,1,25704,28939,61247.57,120,661,2548.55,2,8388,4,510.39641666666665,5.508333333333334
2024,9,2,4,4620,5094,65088.03,82,468,324.32,2,5258,3,793.7564634146341,5.7073170731707314
2018,11,3,1,10848,11734,61191.58,82,479,779.43,0,5010,4,746.2387804878049,5.841463414634147
2018,10,1,2,10672,11272,93493.14,120,703,1125.36,2,4327,4,779.1095,5.858333333333333
2016,11,0,0,14130,14923,61680.21,82,468,991.93,0,4711,4,752.1976829268292,5.7073170731707314
2021,11,0,3,11543,12126,90984.02,75,424,734.13,0,4043,4,1213.1202666666668,5.653333333333333
2023,7,3,3,9697,10023,63662.22,82,457,664.73,1,12325,3,776.3685365853659,5.573170731707317
2020,9,1,4,10029,10380,78669.26,60,353,531.04,2,12254,3,1311.1543333333332,5.883333333333334
2015,9,1,3,15086,15130,57287.6,100,589,1332.85,2,5142,3,572.876,5.89
2018,1,0,2,14330,16094,83414.53,100,567,1218.77,1,7350,1,834.1453,5.67
2022,5,3,2,10488,10878,71290.87,60,353,555.34,0,6926,2,1188.1811666666665,5.883333333333334
2020,6,0,2,7893,8803,68591.13,120,706,835.87,1,5470,2,571.59275,5.883333333333334
2015,2,1,1,2324,2423,52582.09,120,696,242.63,1,9032,1,438.1840833333333,5.8
2024,9,3,3,9727,10872,83984.71,60,340,496.08,1,3988,3,1399.7451666666668,5.666666666666667
2022,1,0,0,13491,15256,65094.78,60,332,671.85,1,8794,1,1084.913,5.533333333333333
2019,2,2,3,2439,2652,111904.04,100,557,203.78,2,10173,1,1119.0403999999999,5.57
2019,11,2,1,10763,10853,59952.7,75,414,668.38,1,10510,4,799.3693333333333,5.52
2019,5,3,2,6061,6255,78780.1,60,351,319.11,0,5609,2,1313.0016666666668,5.85
2022,7,0,1,10399,10848,61221.63,82,473,737.81,1,9387,3,746.605243902439,5.7682926829268295
2021,7,1,1,10432,11531,105489.24,82,476,744.84,2,4831,3,1286.4541463414635,5.804878048780488
2023,8,2,0,12771,14425,76006.37,120,672,1287.32,0,12301,3,633.3864166666666,5.6
2015,3,3,1,6717,6811,75740.11,82,461,464.48,0,5927,1,923.6598780487805,5.621951219512195
2021,2,2,2,10922,11681,91960.14,82,458,750.34,2,11899,1,1121.4651219512195,5.585365853658536
2024,9,0,4,4461,4515,50800.29,60,342,228.85,1,7924,3,846.6715,5.7
2022,12,3,2,4719,5062,108112.41,82,489,346.14,2,10611,4,1318.4440243902438,5.963414634146342
2021,5,0,4,9545,9727,62297.06,120,717,1026.56,2,11318,2,519.1421666666666,5.975
2021,12,2,3,13859,15058,73958.59,60,332,690.18,0,14913,4,1232.6431666666665,5.533333333333333
2017,7,1,0,6698,7530,105250.5,82,463,465.18,1,13965,3,1283.5426829268292,5.646341463414634
2019,9,0,3,15884,17515,64845.69,100,561,1336.64,2,6375,3,648.4569,5.61
2015,2,1,4,9861,11318,66943.87,100,583,862.34,2,12139,1,669.4386999999999,5.83
2016,11,3,1,3663,4115,116854.24,60,354,194.51,0,3018,4,1947.5706666666667,5.9
2021,4,0,2,7580,8514,103847.54,60,347,394.54,1,7046,2,1730.7923333333333,5.783333333333333
2022,6,2,4,7532,8069,53119.9,82,490,553.6,2,11592,2,647.8036585365854,5.975609756097561
2017,1,0,4,8033,8698,86411.89,60,334,402.45,2,12304,1,1440.1981666666666,5.566666666666666
2020,3,2,4,14639,15788,58172.35,100,556,1220.89,0,9442,1,581.7235,5.56
2020,6,3,1,7771,8856,56230.68,100,575,670.25,1,14022,2,562.3068,5.75
2023,12,1,0,11128,12108,72255.75,100,577,963.13,2,11768,4,722.5575,5.77
2020,6,3,0,4677,5097,55021.47,120,673,472.14,0,14177,2,458.51225,5.608333333333333
2015,12,2,1,12570,12817,52276.83,120,715,1348.13,0,10399,4,435.64025000000004,5.958333333333333
2017,4,0,1,10795,12043,95825.55,82,457,740.0,0,13510,2,1168.604268292683,5.573170731707317
2017,3,3,2,9296,9376,117045.29,75,447,623.3,2,12422,1,1560.6038666666666,5.96
2022,9,2,2,9215,10246,92322.89,75,438,605.43,2,3220,3,1230.9718666666668,5.84
2020,2,0,3,6932,7903,103644.59,75,437,454.39,2,12886,1,1381.9278666666667,5.826666666666667
2019,9,2,4,13821,15702,56119.18,75,447,926.7,1,12906,3,748.2557333333333,5.96
2018,1,3,2,4526,4637,58160.82,60,346,234.9,0,13828,1,969.347,5.766666666666667
2018,1,2,2,11796,12081,95948.67,100,598,1058.1,0,9746,1,959.4866999999999,5.98
2024,9,2,2,11173,11333,76804.15,60,358,599.99,1,10074,3,1280.0691666666667,5.966666666666667
2015,3,2,4,5198,5319,67517.0,82,473,368.8,1,11575,1,823.3780487804878,5.7682926829268295
2017,8,0,1,8032,8297,74536.44,75,426,513.24,2,3824,3,993.8192,5.68
2019,12,3,1,13871,15499,115623.68,60,350,728.23,0,4870,4,1927.0613333333333,5.833333333333333
2022,8,0,0,13977,14076,76982.93,75,418,876.36,0,11344,3,1026.4390666666666,5.573333333333333
2017,6,0,3,9474,9841,80408.23,120,703,999.03,0,3108,2,670.0685833333333,5.858333333333333
2020,6,3,4,3949,4020,55978.59,82,488,289.07,2,5323,2,682.665731707317,5.951219512195122
2020,10,1,3,8875,9062,93578.46,75,420,559.12,2,9048,4,1247.7128,5.6
2024,8,3,4,9497,10344,118175.84,75,424,604.01,0,14077,3,1575.6778666666667,5.653333333333333
2018,11,2,0,10631,11842,73717.64,75,448,714.4,1,11855,4,982.9018666666667,5.973333333333334
2025,4,3,2,14646,15998,70463.07,82,468,1028.15,1,11480,2,859.3057317073171,5.7073170731707314
2020,3,1,0,5479,6104,99911.0,60,340,279.43,0,3635,1,1665.1833333333334,5.666666666666667
2018,10,3,0,11286,12014,58339.85,120,690,1168.1,1,7185,4,486.16541666666666,5.75
2020,4,2,0,13035,14421,107662.11,120,711,1390.18,1,7981,2,897.18425,5.925
2023,10,0,3,7375,8187,57285.32,60,353,390.51,2,9387,4,954.7553333333333,5.883333333333334
2025,7,0,0,2723,2943,63830.92,75,428,174.82,2,9020,3,851.0789333333333,5.706666666666667
2022,3,3,2,8256,9464,67978.21,75,429,531.27,1,3360,1,906.3761333333334,5.72
2025,2,2,0,6699,7150,69494.44,75,447,449.17,2,13608,1,926.5925333333333,5.96
2019,10,3,3,12891,14178,107586.02,120,660,1276.21,0,9504,4,896.5501666666667,5.5
2023,9,0,3,11694,12628,59652.92,60,347,608.67,2,6777,3,994.2153333333333,5.783333333333333
2017,12,1,1,7124,7492,52107.27,82,490,523.61,1,11014,4,635.4545121951219,5.975609756097561
2019,4,3,3,9977,10879,65908.27,60,346,517.81,0,11339,2,1098.4711666666667,5.766666666666667
2018,2,1,2,16810,18654,107713.01,100,557,1404.48,2,12995,1,1077.1300999999999,5.57
2025,10,0,0,3031,3438,110309.5,100,558,253.69,2,3311,4,1103.095,5.58
2021,8,0,2,8848,9157,81735.94,120,691,917.1,0,12163,3,681.1328333333333,5.758333333333334
2017,2,0,4,9235,10569,86332.26,100,583,807.6,1,6742,1,863.3226,5.83
2015,5,3,1,10974,12136,55694.41,120,665,1094.66,0,14839,2,464.12008333333335,5.541666666666667
2025,9,1,4,6670,7585,78298.39,75,427,427.21,2,6633,3,1043.9785333333334,5.693333333333333
2020,6,1,4,5248,5703,117058.55,75,431,339.28,0,3994,2,1560.7806666666668,5.746666666666667
2018,10,0,0,1697,1724,116738.2,60,331,84.26,0,6571,4,1945.6366666666665,5.516666666666667
2020,11,3,0,14412,14627,92292.18,60,333,719.88,0,3944,4,1538.203,5.55
2025,10,2,0,10175,11339,61799.84,75,436,665.44,0,4027,4,823.9978666666666,5.8133333333333335
2025,8,0,4,8949,10002,91731.4,82,487,653.72,2,5063,3,1118.6756097560974,5.939024390243903
2015,8,0,2,19783,19836,111048.67,82,489,1451.08,0,9781,3,1354.2520731707316,5.963414634146342
2018,3,0,0,8510,9702,98236.14,75,443,565.49,2,9674,1,1309.8152,5.906666666666666
2016,5,1,0,13737,14494,78989.08,100,591,1217.79,0,11803,2,789.8908,5.91
2015,1,1,1,7597,8376,80810.67,75,417,475.19,1,8942,1,1077.4756,5.56
2018,12,3,4,12145,13533,106826.47,120,680,1238.79,1,8204,4,890.2205833333334,5.666666666666667
2022,5,2,3,13056,14295,118320.97,75,424,830.36,2,8531,2,1577.6129333333333,5.653333333333333
2018,1,0,0,10761,11619,52286.13,82,470,758.65,0,7892,1,637.6357317073171,5.7317073170731705
2018,10,1,0,9910,10710,119449.49,75,444,660.01,0,4168,4,1592.6598666666666,5.92
2016,12,1,4,121,139,111622.03,100,581,10.55,2,9832,4,1116.2203,5.81
2015,10,3,1,13930,14805,76819.7,120,691,1443.84,0,3563,4,640.1641666666667,5.758333333333334
2015,9,3,0,14984,15332,62734.97,60,355,797.9,1,14353,3,1045.5828333333334,5.916666666666667
2016,11,0,1,6535,7194,69276.68,82,463,453.86,1,12467,4,844.8375609756097,5.646341463414634
2017,1,0,2,10239,10788,95347.22,75,417,640.45,2,13663,1,1271.2962666666667,5.56
2021,6,2,3,8154,9222,77649.32,120,680,831.71,1,5487,2,647.0776666666667,5.666666666666667
2019,10,3,4,10447,11167,84927.76,100,553,866.58,1,11213,4,849.2775999999999,5.53
2020,6,0,1,7905,8286,82584.09,100,597,707.89,2,14180,2,825.8408999999999,5.97
2025,1,1,2,7178,7255,56599.32,60,347,373.61,2,3619,1,943.322,5.783333333333333
2019,8,0,1,13675,14416,87435.96,120,719,1474.85,2,8694,3,728.633,5.991666666666666
2025,6,2,1,8280,8700,70543.5,75,420,521.64,1,6188,2,940.58,5.6
2023,7,0,2,7598,8691,85168.2,60,357,406.87,0,11481,3,1419.47,5.95
2022,8,2,3,9804,10357,97058.41,60,353,519.12,0,9369,3,1617.6401666666668,5.883333333333334
2022,12,0,2,15242,15254,118941.01,120,712,1627.85,1,13741,4,991.1750833333333,5.933333333333334
2021,11,1,3,4265,4364,111629.53,75,428,273.81,2,7945,4,1488.3937333333333,5.706666666666667
2025,12,1,3,4553,4640,85847.27,82,462,315.52,1,4933,4,1046.9179268292683,5.634146341463414
2023,7,2,3,15532,17175,90413.92,120,713,1661.15,0,11403,3,753.4493333333334,5.941666666666666
2025,3,1,1,4322,4811,106262.64,60,346,224.31,0,8862,1,1771.044,5.766666666666667
2025,5,3,2,7732,8655,70175.23,120,671,778.23,1,14687,2,584.7935833333333,5.591666666666667
2016,5,1,3,8790,9863,93065.36,100,565,744.95,1,10486,2,930.6536,5.65
2016,11,3,3,8067,8378,54166.73,120,696,842.19,1,11239,4,451.3894166666667,5.8
2023,4,3,4,12566,13881,55756.33,60,342,644.64,1,9711,2,929.2721666666667,5.7
2021,5,2,0,17149,17698,57385.96,120,700,1800.64,0,10928,2,478.21633333333335,5.833333333333333
2018,6,0,3,10582,11794,86638.1,82,460,730.16,2,10998,2,1056.5621951219514,5.609756097560975
2024,11,1,0,15338,17247,109717.8,120,673,1548.37,1,3777,4,914.315,5.608333333333333
2022,5,2,4,11881,13384,103321.99,60,331,589.89,0,14981,2,1722.0331666666668,5.516666666666667
2020,11,0,0,12449,13177,79104.24,82,470,877.65,0,7412,4,964.6858536585366,5.7317073170731705
2020,1,3,1,9057,9716,104453.66,60,341,463.27,1,8317,1,1740.8943333333334,5.683333333333334
2021,2,3,3,20568,22879,117528.33,120,664,2048.57,1,3641,1,979.40275,5.533333333333333
2015,5,1,1,12077,13820,76240.94,75,423,766.29,1,13423,2,1016.5458666666667,5.64
2020,11,3,4,9047,9698,76124.52,75,430,583.53,0,9949,4,1014.9936,5.733333333333333
2025,9,2,3,12995,14883,97050.41,75,418,814.79,1,4598,3,1294.0054666666667,5.573333333333333
2018,3,2,3,7292,7429,118540.61,120,700,765.66,2,13162,1,987.8384166666667,5.833333333333333
2025,4,1,3,8951,10171,86288.53,100,553,742.49,0,4323,2,862.8853,5.53
2015,3,0,0,10257,11441,65107.47,100,581,893.9,1,4024,1,651.0747,5.81
2023,8,0,4,14192,14464,71868.41,120,690,1468.87,1,10065,3,598.9034166666667,5.75
2020,5,1,3,8980,10325,70079.27,100,564,759.71,1,4916,2,700.7927000000001,5.64
2022,10,2,0,6826,7781,106421.16,120,701,717.75,0,3060,4,886.8430000000001,5.841666666666667
2022,5,3,4,2178,2274,69609.39,100,557,181.97,1,6470,2,696.0939,5.57
2020,3,1,2,8370,8464,67525.11,120,700,878.85,0,13659,1,562.70925,5.833333333333333
2015,6,0,4,6828,7039,75498.89,100,575,588.91,1,11284,2,754.9889,5.75
2025,4,2,3,11783,12535,95130.18,82,458,809.49,2,9726,2,1160.1241463414633,5.585365853658536
2019,2,1,3,8777,8804,52410.19,75,429,564.8,1,12799,1,698.8025333333334,5.72
2017,2,3,1,9462,10474,96646.98,60,358,508.11,1,12132,1,1610.783,5.966666666666667
2022,4,0,3,11546,13120,115939.4,100,553,957.74,1,7828,2,1159.394,5.53
2019,3,1,0,11227,12883,53512.27,100,554,932.96,1,11645,1,535.1227,5.54
2019,12,2,4,11307,12778,80248.14,75,448,759.83,0,8426,4,1069.9752,5.973333333333334
2020,10,0,0,10428,11120,116424.14,82,461,721.1,1,9385,4,1419.8065853658536,5.621951219512195
2017,6,1,0,4694,5104,67717.11,120,687,483.72,2,14490,2,564.30925,5.725
2018,3,1,4,4731,5359,112698.3,60,338,239.86,0,5759,1,1878.305,5.633333333333334
2015,1,2,3,7419,8000,79927.87,75,413,459.61,2,4294,1,1065.7049333333332,5.506666666666667
2019,5,3,3,7479,7555,72183.29,82,461,517.17,1,9071,2,880.2840243902439,5.621951219512195
2021,1,1,3,8424,8688,50824.59,75,449,567.36,2,6372,1,677.6612,5.986666666666666
2024,1,1,4,14668,16401,67771.88,82,482,1060.5,2,11255,1,826.4863414634146,5.878048780487805
2016,3,1,2,8700,9196,77917.59,60,347,452.83,2,9403,1,1298.6264999999999,5.783333333333333
2016,10,1,4,10758,11593,80129.92,82,463,747.14,0,8215,4,977.1941463414634,5.646341463414634
2020,7,1,4,11723,11829,78933.97,60,346,608.42,0,8232,3,1315.5661666666667,5.766666666666667
2021,4,0,0,9368,10703,54428.39,120,696,978.02,2,3685,2,453.56991666666664,5.8
2017,10,1,0,12490,13026,106184.82,120,719,1347.05,0,3360,4,884.8735,5.991666666666666
2015,2,0,1,18761,18875,91362.51,82,478,1345.16,0,3199,1,1114.1769512195121,5.829268292682927
2020,8,3,1,9209,10291,77636.51,120,698,964.18,1,4807,3,646.9709166666667,5.816666666666666
2018,1,3,3,11056,12145,112887.05,60,341,565.51,2,6921,1,1881.4508333333333,5.683333333333334
2018,12,0,1,10896,10897,52748.55,120,718,1173.5,1,5908,4,439.57125,5.983333333333333
2023,3,1,3,7063,7817,90597.34,100,554,586.94,2,11327,1,905.9734,5.54
2015,11,0,0,4482,4968,84711.3,82,454,305.22,1,5642,4,1033.0646341463414,5.536585365853658
2023,4,2,2,16873,17509,98627.02,60,353,893.43,0,5937,2,1643.7836666666667,5.883333333333334
2019,11,3,0,15281,16012,113413.82,120,667,1528.86,1,5142,4,945.1151666666667,5.558333333333334
2016,5,1,1,7546,8329,54360.43,60,345,390.51,0,14960,2,906.0071666666666,5.75
2017,5,3,2,12601,13161,100009.69,82,482,911.05,2,4230,2,1219.6303658536585,5.878048780487805
2020,10,3,4,8952,9919,81113.6,100,562,754.65,2,5284,4,811.1360000000001,5.62
2019,7,1,1,7642,8425,91557.92,75,440,504.37,1,6713,3,1220.7722666666666,5.866666666666666
2023,7,3,4,16150,16704,86864.96,60,343,830.92,2,9955,3,1447.7493333333334,5.716666666666667
2016,6,3,1,10738,11306,70757.49,75,425,684.55,2,12295,2,943.4332,5.666666666666667
2015,8,1,3,6084,6741,94880.33,60,350,319.41,2,9512,3,1581.3388333333335,5.833333333333333
2023,7,0,3,6290,7032,73725.54,82,484,456.65,1,4568,3,899.0919512195121,5.902439024390244
2023,11,3,1,7159,8085,109798.74,120,661,709.81,2,10314,4,914.9895,5.508333333333334
2019,8,1,3,8803,9254,118696.83,60,348,459.52,0,7993,3,1978.2805,5.8
2018,7,1,4,7992,8483,118475.45,100,559,670.13,2,12589,3,1184.7545,5.59
2019,1,1,1,17693,18854,69372.79,60,346,918.27,1,7164,1,1156.2131666666667,5.766666666666667
2019,6,0,3,14693,16626,67022.6,82,473,1042.47,0,5309,2,817.3487804878049,5.7682926829268295
2025,12,0,0,7317,7883,74218.07,100,583,639.87,1,14412,4,742.1807000000001,5.83
2015,8,2,2,14376,16107,50324.24,60,340,733.18,1,7778,3,838.7373333333333,5.666666666666667
2023,12,1,2,11217,11469,56297.71,75,433,728.54,2,4365,4,750.6361333333333,5.773333333333333
2022,6,0,2,2823,2893,78502.16,120,673,284.98,2,9417,2,654.1846666666667,5.608333333333333
2019,3,3,3,11553,12761,55825.61,75,444,769.43,0,8766,1,744.3414666666666,5.92
2023,7,0,0,8704,9162,108606.8,82,453,591.44,0,14308,3,1324.4731707317073,5.524390243902439
2024,3,2,1,16656,17329,57011.85,100,567,1416.59,1,7835,1,570.1185,5.67
2015,9,2,1,11231,12298,68052.14,82,456,768.2,1,13019,3,829.9041463414634,5.560975609756097
2025,8,1,1,9675,9787,117180.88,60,356,516.64,2,12056,3,1953.0146666666667,5.933333333333334
